Straßenname;Erläuterung;Geschlecht;Kategorie;Quellenangabe
'CHRISTIAN-LECHLEITNER-STRASSE';'Lechleitner, Christian (geb. 20.04.1737 in Bretzenheim, gest. 29.01.1814 in Bretzenheim), 1793 Gemeinde-Procurator der Gemeinde Bretzenheim, 1798 Adjunkt, 1798-1800 Municipal-Agent, 1802-1809 Maire (Bürgermeister) in Bretzenheim';'m';'None';'None'
'CHRISTIANSTRASSE';'Weisenau, Christian von (gest. 1253 in Paris), 1249-1251 Erzbischof von Mainz';'m';'None';'None'
'CHRISTOFSGÄSSCHEN';'Christophorus, griech.-lat. \"Christus-Träger\", legendenhafte Gestalt und Schutzpatron der Schiffer, Flößer, Pilger und Reisenden, einer der 14 Nothelfer. Straße ist benannt nach einer der ältesten Mainzer Pfarrkirchen, der Christofskirche.';'m';'None';'None'
'CHRISTOFSSTRASSE';'Christophorus, griech.-lat. ’Christus-Träger’, legendenhafte Gestalt und Schutzpatron der Schiffer, Flößer, Pilger und Reisenden, einer der 14 Nothelfer. Straße ist benannt nach einer der ältesten Mainzer Pfarrkirchen, der Christofskirche';'m';'None';'None'
'CLARISSA-KUPFERBERG-PLATZ';'Kupferberg, Clarissa (geb. 22.08.1907 in Mainz, gest. 09.05.1989 in Baden-Baden), Malerin';'w';'Künstlerin';'None'
'CLEMENS-BRENTANO-STRASSE';'Brentano, Clemens (geb. 08.09.1778 in Ehrenbreitstein, gest. 28.07.1842 in Aschaffenburg), Dichter';'m';'None';'None'
'COLMARSTRASSE';'Colmar, Josef Ludwig (geb. 22.06.1760 in Straßburg, gest. 15.12.1818 in Mainz), erster Bischof des neuen, von Napoleon geschaffenen Bistums Mainz 1802-1818';'m';'None';'None'
'CORNELIUSSTRASSE';'Cornelius, Peter (geb. 24.12.1824 in Mainz, gest. 26.10.1874 in Mainz), Dichter und Komponist';'m';'None';'None'
'CRANACHWEG';'Cranach, ... Malerfamilie: Cranach, Augustin (1554-1595), Maler und Graphiker, Sohn von Lucas Cranach dem Jüngeren; Cranach, Hans (1513-1537), Maler und Graphiker, Sohn von Lucas Cranach dem Älteren; Cranach, Lucas, der Ältere (1472-1553), Maler und Graphiker, Vater von Lucas Cranach, dem Jüngeren; Cranach, Lucas, der Jüngere (1515-1586), Maler und Graphiker, Sohn von Lucas Cranach dem Älteren; Cranach, Lucas, III. (1586-1645), Maler, Sohn von Augustin Cranach';'f';'None';'None'
'CURIESTRASSE';'Curie, Marie (geb. 07.11.1867 in Warschau, gest. 04.07.1934 in Sancellemoz/Savoyen), Chemikerin und Physikerin und Curie, Pierre (geb. 15.05.1859 in Paris, gest. 19.04.1906 in Paris), Physiker, Entdecker von radioaktiven Elementen';'w';'Forscherin';'None'
'CURT-GOETZ-STRASSE';'Goetz, Curt (geb. 17.11.1888 in Mainz, gest. 12.09.1960 in Grabs/Kanton St. Gallen), Bühnenschriftsteller und Schauspieler';'m';'None';'None'
'CZERNYWEG';'Czerny, Adalbert (geb. 25.03.1863 in Szczakowa bei Katowice, Polen, gest. 03.10.1941 in Berlin), Kinderarzt und Leiter der Berliner Universitätsklinik';'m';'None';'None'
'DAGOBERTSTRASSE';'Dagobert I. (geb. zwischen 605 und 610, gest. 19.01.639), König des Frankenreichs, soll der Sage nach in der Nähe einen Palast gehabt haben';'m';'None';'None'
'DALBERGSTRASSE';'Dalberg, Karl Theodor von (geb. 08.02.1744 in Herrnsheim, gest. 10.02.1817 in Regensburg), letzter Kurfürst- Erzbischof von Mainz 1802, Erzbischof von Regensburg, 1806 Fürstprimas des Rheinbundes, 1810 Großherzog von Frankfurt';'m';'None';'None'
'DANIEL-BRENDEL-STRASSE';'Brendel von Homburg, Daniel (geb. 22.03.1523 in Aschaffenburg, gest. 22.03.1582 in Aschaffenburg), Mainzer Erzbischof und Kurfürst';'m';'None';'None'
'DANTESTRASSE';'Dante, Alighieri (geb. im Mai 1265 in Florenz, gest. 14.09.1321 in Ravenna), italienischer Dichter';'m';'None';'None'
'DE-LA-ROCHE-ANLAGE';'de la Roche, Heinrich Georg (gest. 15.01.1702 in Mainz), Domherr in Mainz, stiftete 1000 Reichstaler für den Bau der Nikolauskirche in Mombach, im Domkreuzgang bestattet (Stiftung für die Anstellung eines eigenen Pfarrers, s. Schaab)';'m';'None';'None'
'DEKAN-LAIST-STRASSE';'Laist, Philipp (geb. 07.09.1831 in Herbstein, gest. 09.05.1910 in Hechtsheim), katholischer Priester, 1873 bis 1910 Pfarrer in Hechtsheim, Dekan des Landkapitels Mainz, Geistlicher Rat, in seine Amtszeit fiel der Neubau von Kirche und Schwesternhaus in Hechtsheim';'m';'None';'None'
'DIETER-SCHRO-WEG';'Schro, Dietrich (auch Diether) (geb. um 1510,gest. 1573 in Mainz), Bildhauer, schuf im Mainzer Dom die Denkmäler für die Erzbischöfe Albrecht von Brandenburg und Sebastian von Heusenstamm';'m';'None';'None'
'DIETHER-VON-ISENBURG-STRASSE';'Isenburg, Diether von (geb. 1412 in Büdingen, gest. 07.05.1482 in Aschaffenburg), Mainzer Kurfürst in den Jahren 1459-1463 und 1475-1482. Gründete 1477 die Mainzer Universität und erbaute die Martinsburg 1478.';'m';'None';'None'
'DIETRICH-BONHOEFFER-STRASSE';'Bonhoeffer, Dietrich, Dr. (geb. 04.02.1906 in Breslau; gest. 09.04.1945 im KZ Flossenbürg), evangelischer Theologe, Mitglied der Widerstandsbewegung um Admiral Canaris gegen das NS-Regime';'m';'None';'None'
'DIETRICH-GRESEMUND-WEG';'Gresemund, Dietrich (geb. ca. 1477 in Speyer, gest. Mitte Oktober 1512 in Mainz), Theologe und Jurist, Humanist an der Universität Mainz, Erforscher römischer Altertümer';'m';'None';'None'
'DIETZESTRASSE';'Dietze, Ernst Hermann (geb. 12.09.1837 in Frankfurt/Main, gest. nach 1899), Chemiker, Fabrikant, Direktor des Vereins für chemische Industrie in Mainz, damit einer der Gründer der chemischen Fabrik \"Deutsche Gold- und Silberscheideanstalt\" (DEGUSSA) vorm. Roessler, Hiag-Werk Mombach';'m';'None';'None'
'DIONYSIUSSTRASSE';'Dionysius, zählt zu den 14 Nothelfern, um 250 erster Bischof von Paris, Märtyrer';'m';'None';'None'
'DOMBAUM.-SCHNEIDER-STR.';'Schneider, Heinrich (geb. 06.10.1910 in Mainz, gest. 24.09.1962 in Mainz), Dombaumeister';'m';'None';'None'
'DOMITIANSTRASSE';'Titus Flavius Domitianus (geb. 24.10.51 in Rom, gest. 18.09.96 in Rom), römischer Kaiser';'m';'None';'None'
'DORA-SCHERF-STRASSE';'Scherf, Dora (geb. 11.06.1897 in Weisenau, gest. 09.10.1970 in Mainz), seit 1929 Hebamme in Weisenau für mehr als 30 Jahre mit über 3000 Entbindungen';'w';'Medizin';'None'
'DR.-ERICH-JUNG-STRASSE';'Jung, Erich, Dr. (geb. 03.06.1894 in Mainz, gest. 13.06.1970 in Mainz), Rechtsanwalt, standhafter Gonsenheimer Anwalt gegen die NS-Justiz';'m';'None';'None'
'DR.-FALK-WEG';'Falk, Franz, Dr. (geb. 12.01.1840 in Mainz, gest. 20.09.1909 in Klein-Winternheim), katholischer Pfarrer in Mombach 1874-1887, bedeutender Mainzer Kirchenhistoriker, päpstlicher Ehrenprälat (seit 1908)';'m';'None';'None'
'DR.-FRIEDRICH-KIRCHHOFF-STRASSE';'Kirchhoff, Friedrich, Dr. (geb. 12.07.1859 in Iserlohn, gest. 16.10.1953 in Iserlohn), Vorsitzender des Aufsichtsrats der Portland-Zementwerke, Förderer der dortigen Siedlung für Mitarbeiter der Zementwerke';'m';'None';'None'
'DR.-GISELA-THEWS-PLATZ';'Thews, Gisela, Dr. (geb. 04.07.1930 in Brunsbüttelkoog, gest. 26.04.2014 in Mainz), Ärztin und Mainzer SPD-Politikerin, u. a. Ortsvorsteherin und Dezernentin für Gesundheit, Grün, Umwelt und Stadtsanierung';'w';'Politik (SPD)';'https://www.allgemeine-zeitung.de/lokales/mainz/stadtteile-mainz/altstadt/mainz-wurdigt-gisela-thews_19035575'
'DR.-GÜNTER-STORCH-PLATZ';'Storch, Günter, Dr. (geb. 02.02.1926 in Oberhausen, gest. 03.08.2004 in Mainz) Diplom-Volkswirt und Journalist, Mitglied des Mainzer Stadtrates 1960-1994 und des Landtages von Rheinland-Pfalz 1963-1969';'m';'None';'None'
'DR.-HEINRICH-ROSENHAUPT-STRASSE';'Rosenhaupt, Heinrich, Dr. (geb. 21.05.1877 in Frankfurt am Main, gest. 15.04.1944 in Colorado Springs, USA), Kinderarzt, 1922 Stadtarzt von Mainz, ab 1923 Aufbau und Leitung des städtischen Gesundheitsamtes, am 27.03.1933 wegen seiner jüdischen Herkunft von den Nationalsozialisten entlassen';'m';'None';'None'
'DR.-KARL-SCHRAMM-STRASSE';'Schramm, Karl, Dr. (geb. 14.12.1906 in Mainz, gest. 27.07.1969 in Mainz), ab 1945 Dramaturg am Stadttheater Mainz, schrieb Bücher über Mainzer Geschichte';'m';'None';'None'
'DR.-MARIA-HOPF-STRASSE';'Hopf, Maria Dr. (geb. 13.09.1914 in Wettin, gest. 24.08.2008 in Mainz), Biologin und Archäobotanikerin, ab 1956 für das Römisch-Germanische Zentralmuseum in Mainz tätig';'w';'Forscherin';'None'
'DR.-MARTIN-LUTHER-KING-WEG';'King, Martin Luther, Dr. (geb. 15.01.1929 in Atlanta, gest. 04.04.1968 in Memphis), Baptistenpfarrer, Bürgerrechtler und Friedens-Nobelpreisträger';'m';'None';'None'
'DRUSUSSTRASSE';'Nero Claudius Drusus (geb. 38 v. Chr., gest. 9 v. Chr.), römischer Feldherr, Stiefsohn von Kaiser Augustus, ließ 13 v. Chr. auf der Anhöhe über Mainz, dem späteren Kästrich, das römische Legionslager anlegen, der Drususstein auf der Zitadelle ist ihm zu Ehren errichtet.';'m';'None';'None'
'DRUSUSWALL';'Nero Claudius Drusus (geb. 38 v. Chr., gest. 9 v. Chr.), römischer Feldherr, Stiefsohn von Kaiser Augustus, ließ 13 v. Chr. auf der Anhöhe über Mainz, dem späteren Kästrich, das römische Legionslager anlegen, der Drususstein auf der Zitadelle ist ihm zu Ehren errichtet.';'m';'None';'None'
'DUESBERGWEG';'Duesberg, Franz Gerhard Xaver von (geb. 11.01.1793 in Borken, gest. 11.12.1872 in Münster), deutscher Jurist und Politiker, 1846 preußischer Finanzminister, von 1850 bis 1871 Oberpräsident der preußischen Provinz Westfalen';'m';'None';'None'
'DUMONTSTRASSE';'Dumont, Alexis, Dr. (geb. 23.07.1819 in Mainz, gest. 23.06.1885 in Mainz), gehörte als Mitglied der Fortschrittspartei dem Hessischen Landtag an, 1877-1885 Bürgermeister von Mainz';'m';'None';'None'
'EDUARD-DAVID-STRASSE';'David, Eduard, Dr. (geb. 11.06.1863 in Ediger an der Mosel, gest. 23.12.1930 in Berlin), Sozialdemokrat, Schriftleiter der Mainzer Volkszeitung, Mainzer Landtags- und Reichstagsabgeordneter, erster Präsident der Weimarer Nationalversammlung, 1919-1920 Reichsinnenminister';'m';'None';'None'
'EDUARD-FRANK-STRASSE';'Frank, Eduard, Dr. med. (geb. 15.12.1857 in Worms, gest. 15.12.1944 in White Plains, NY), Dr. med., Gründer und Leiter des \"Instituts für physikalische Heilmethoden\" (Neubrunnenbad) 1901-1933, Stadtverordneter in Mainz (SPD) von 1892-1919 und 1922-1925, Emigration 1938';'m';'None';'None'
'EDUARD-KREYSSIG-UFER';'Kreyßig, Eduard (geb. 30.08.1830 in Eichelsachsen, gest. 11.03.1897 in Mainz ), Architekt und Stadtplaner, von 1864 bis 1896 Stadtbaumeister von Mainz';'m';'None';'None'
'EHRHARDSTRASSE';'Ehrhard, Wilhelm, Dr. (geb. 19.09.1884 in Biebrich, gest. 27.02.1936 in Berlin), 1920 bis 1931 Bürgermeister und Beigeordneter, 1931 bis 1933 Oberbürgermeister von Mainz, wurde von den Nationalsozialisten seines Amtes enthoben';'m';'None';'None'
'EICHENDORFFSTRASSE';'Eichendorff, Freiherr Joseph von (geb. 10.03.1788 auf Schloß Lubowitz bei Ratibor, gest. 26.11.1857 in Neisse), Lyriker und Erzähler';'m';'None';'None'
'ELEONORENSTRASSE';'Eleonore, Großherzogin von Hessen-Darmstadt (geb. 17.09.1871 in Lich, gest. 16.11.1937 bei einem Flugzeugabsturz, Steene bei Ostende), 2. Ehefrau des Großherzogs Ernst Ludwig von Hessen und bei Rhein';'w';'Adel';'None'
'ELISABETH-LANGGÄSSER-STRASSE';'Langgässer, Elisabeth (geb. 23.02.1899 in Alzey, gest. 25.07.1950 in Rheinzabern)';'w';'Künstlerin';'None'
'ELISABETH-SCHWARZHAUPT-STRAßE';'Schwarzhaupt, Emma Sophie Elisabeth (geb. 7. Januar 1901 in Frankfurt/Main, gest. 30. Oktober 1986 in Frankfurt/Main), Bundesministerin für Gesundheitswesen 1961-1966, erste Frau, die das Amt eines Bundesministers innehatte';'w';'Politik (CDU)';'https://de.wikipedia.org/wiki/Elisabeth_Schwarzhaupt'
'ELISABETH-SELBERT-STRASSE';'Selbert, Elisabeth (geb. 22.09.1896 in Kassel, gest. 09.06.1986 in Kassel), Politikerin und Juristin, eine der vier „Mütter des Grundgesetzes“';'w';'Politik (SPD)';'https://de.wikipedia.org/wiki/Elisabeth_Selbert'
'ELISABETHENSTRASSE';'Es ist ungeklärt, nach welcher Person oder Heiligen die Straße benannt wurde.';'u';'None';'None'
'ELISE-HAAS-WEG';'Haas, Elise (geb. 14.07.1878 in Tholey, gest. 02.11.1960 in Mainz), jüdische Lyrikerin';'w';'Künstlerin';'None'
'ELLY-BEINHORN-STRASSE';'Beinhorn, Elly (geb. 30.05.1907 in Hannover, gest. 28.11.2007 in Ottobrunn bei München), Fliegerin und Schriftstellerin';'w';'Künstlerin';'None'
'ELSA-BRÄNDSTRÖM-STRASSE';'Brändström, Elsa (geb. 26.03.1888 in St. Petersburg, gest. 04.03.1948 in Cambridge), schwedische Philanthropin, bekannt als \"Engel von Sibirien\" in den russischen Gefangenenlagern des Ersten Weltkrieges';'w';'Medizin';'None'
'EMIL-KRAUS-WEG';'Kraus, Max Emil, Dr. (geb. 29.05.1893 in Konstanz, gest. 07.09.1972 in Mainz), 1929-1933 Beigeordneter und Bürgermeister der Stadt Mainz, 1933 durch die Nationalsozialisten entlassen. 1945-1949 Oberbürgermeister in Mainz, in seine Amtszeit fiel die Eröffnung der Johannes Gutenberg-Universität.';'m';'None';'None'
'EMMERANSSTRASSE';'Emmeran (gest. 715), Heiliger, Bischof v. Regensburg, fränkischer Missionsbischof und Märtyrer. Straße benannt nach der Emmeranskirche';'m';'None';'None'
'EMMERICH-JOSEF-STRASSE';'Emmerich Josef, Freiherr von Breidbach-Bürresheim (geb. 12.11.1707 in Koblenz, gest. 11.06.1774 in Mainz), Mainzer Kurfürst von 1763 bis 1774, Vertreter der Aufklärung, beim Volk sehr beliebt';'m';'None';'None'
'EMRICHRUHSTRASSE';'Emmerich Josef, Freiherr von Breidbach-Bürresheim (geb. 12.11.1707 in Koblenz, gest. 11.06.1774 in Mainz), Mainzer Kurfürst von 1763 bis 1774, Vertreter der Aufklärung, beim Volk sehr beliebt';'m';'None';'None'
'EMY-ROEDER-STRASSE';'Roeder, Emy (geb. 30.01.1890 in Würzburg, 07.02.1971 in Mainz), Bildhauerin und Graphikerin';'w';'Künstlerin';'None'
'ERICH-DOMBROWSKI-STRASSE';'Dombrowski, Erich (geb. 23.12.1882 in Danzig, gest. 29.10.1972 in Wiesbaden), Publizist, Gründer und Leiter der \"Allgemeinen Zeitung\" in Mainz, Mitbegründer der Frankfurter Allgemeinen Zeitung';'m';'None';'None'
'ERICH-KOCH-HÖHENWEG';'Koch, Erich (geb. 1920, gest. 1993), Bürgermeister und Ortsvorsteher von Laubenheim 1965-1969 und 1969-1989, Mitbegründer der Partnerschaft mit Longchamp';'m';'None';'None'
'ERICH-OLLENHAUER-STRASSE';'Ollenhauer, Erich (geb. 27.03.1901 in Magdeburg, gest. 14.12.1963 in Bonn), sozialdemokratischer Politiker, seit 1952 SPD-Vorsitzender, seit 1963 Präsident der Sozialistischen Internationale';'m';'None';'None'
'ERNST-ABBE-STRASSE';'Abbe, Ernst Karl, Dr. (geb. 23.01.1840 in Eisenach, gest. 14.01.1905 in Jena), Physiker und Sozialreformer, schuf mit Carl Zeiss und Otto Schott die Grundlagen der modernen Optik';'m';'None';'None'
'ERNST-LUDWIG-PLATZ';'Ernst Ludwig (geb. 25.11.1868 in Darmstadt, gest. 09.09.1937 auf Schloß Wolfsgarten bei Langen), 1892 bis 1918 Großherzog von Hessen und bei Rhein, liberaler Landesfürst, Förderer der Wissenschaft und der Kunst';'m';'None';'None'
'ERNST-LUDWIG-STRASSE';'Ernst Ludwig (geb. 25.11.1868 in Darmstadt, gest. 09.09.1937 auf Schloß Wolfsgarten bei Langen), 1892 bis 1918 Großherzog von Hessen und bei Rhein, liberaler Landesfürst, Förderer der Wissenschaft und der Kunst';'m';'None';'None'
'ERNST-NEEB-STRASSE';'Neeb, Ernst, Prof. Dr. (geb. 08.09.1861 in Bischofsheim, gest. 23.04.1939 in Mainz), Mainzer Ehrenbürger, Heimatforscher und Denkmalschützer';'m';'None';'None'
'ERNST-REUTER-STRASSE';'Reuter, Ernst (geb. 29.07.1889 in Apenrade, gest. 29.09.1953 in Berlin), Politiker, Oberbürgermeister und Regierender Bürgermeister von Berlin 1947-1953';'m';'None';'None'
'ERTHALSTRASSE';'Erthal, Friedrich Carl Joseph von (geb. 03.01.1719 in Mainz, gest. 25.07.1802 in Aschaffenburg), seit 1774 Mainzer Erzbischof und Kurfürst, musste 1792 vor den französischen Truppen unter General Custine in seine Zweitresidenz nach Aschaffenburg fliehen.';'m';'None';'None'
'ERZBERGERSTRASSE';'Erzberger, Matthias (geb. 20.09.1875 in Buttenhausen, gest. 26.08.1921 bei Bad Griesbach), Politiker der Zentrumspartei, 1919 bis 1920 Reichsfinanzminister und Vizekanzler';'m';'None';'None'
'EUGEN-SALOMON-STRASSE';'Salomon, Eugen (geb. 05.03.1888 in Wörrstadt, gest. 14.11.1942 in Auschwitz), Präsident, Funktionär und Wegbereiter des 1. FSV Mainz 05. Emigration 1933 nach Frankreich, 1942 von Frankreich aus nach Auschwitz deportiert und dort ermordet.';'m';'None';'None'
'FANNY-DE-LA-ROCHE-WEG';'LaRoche, Fanny de (geb. 28.10.1812 in Wieblingen, gest. 01.08.1857 in Neustadt), Gründerin des Klosters und erste Generaloberin der Schwestern von der Göttlichen Vorsehung in Finthen';'w';'Kirche';'None'
'FASTRADAWEG';'Fastrada, fränkische Königin, dritte Ehefrau Karls des Großen, gestorben am 10. August 794 in Frankfurt, begraben im Kloster St. Alban zu Mainz, dessen Errichtung sie gefördert hatte.';'w';'Adel';'None'
'FAULHABERSTRASSE';'Faulhaber, Franz Anton (geb. 04.04.1752 in Königheim, gest. 30.01.1811 in Bretzenheim), katholischer Priester, ab Februar 1781 Kaplan in Bretzenheim, 1786-1811 Pfarrer in Bretzenheim, Verfasser eines Tagebuchs über die Belagerung von Mainz 1793';'m';'None';'None'
'FERDINAND-SECKER-STRASSE';'Secker, Ferdinand Heinrich (geb. 28.03.1831 in Marienborn, gest. 14.06.1849 in Kirchheimbolanden), Marienborner Freiheitskämpfer, der im Mai 1849 bei Kirchheimbolanden für die Durchsetzung der Frankfurter Paulskirchenverfassung kämpfte';'m';'None';'None'
'FICHTEPLATZ';'Fichte, Johann Gottlieb (geb. 19.05.1762 in Rammenau/Oberlausitz, gest. 29.01.1814 in Berlin), Philosoph';'m';'None';'None'
'FLIEDNERSTRASSE';'Fliedner, Theodor (geb. 21.01.1800 in Eppstein, gest. 04.10.1864 in Kaiserswerth), evangelischer Theologe und Begründer der weiblichen Diakonie';'m';'None';'None'
'FLORIAN-GEYER-STRASSE';'Geyer, Florian (geb. um 1490 in Giebelstadt bei Ochsenfurt, gest. 10.06.1525 in Rimpar bei Würzburg), Reichsritter und Bauernführer';'m';'None';'None'
'FONTANESTRASSE';'Fontane, Theodor (geb. 30.12.1819 in Neuruppin, gest. 20.09.1898 Berlin), Schriftsteller, Journalist und Theaterkritiker';'m';'None';'None'
'FORSTERSTRASSE';'Forster, Georg (geb. 27.11.1754 in Nassenhuben bei Danzig, gest. 10.01.1794 in Paris), seit 1788 Leiter der Mainzer Universitätsbibliothek, tritt 1792 dem Mainzer Jakobinerklub bei, Abgeordneter des Rheinisch-Deutschen Nationalkonvents der Mainzer Republik, einer der ersten deutschen Demokraten';'m';'None';'None'
'FRANZ-ANTON-HERMANN-STRASSE';'Hermann, Franz Anton (geb. 27.03.1711 in Wien, gest. 27.10.1770 in Mainz), Mainzer Hofschreiner, schuf das Chorgestühl im Mainzer Dom sowie Hochaltar, Kanzel und Kommunionbank für die Marienborner Wallfahrtskirche';'m';'None';'None'
'FRANZ-AUGUST-BECKER-STRASSE';'Becker, Franz August (geb. 23.07.1839 in Gonsenheim, gest. 08.10.1912 in Gonsenheim), Landwirt, Bürgermeister von Gonsenheim 1885-1912, Ehrenbürger';'m';'None';'None'
'FRANZ-LISZT-STRASSE';'Liszt, Franz von (geb. 22.10.1881 in Raiding/Burgenland, gest. 31.07.1886 in Bayreuth), Pianist und Komponist';'m';'None';'None'
'FRANZ-VLASDECK-ANLAGE';'Vlasdeck, Franz (geb. 14.10.1859 in Mainz, gest. 11.04.1933 in Mombach), Bildhauer und Bauunternehmer';'m';'None';'None'
'FRANZ-WERFEL-STRASSE';'Werfel, Franz (geb. 10.09.1890 in Prag, gest. 26.08.1945 in Beverly Hills), österreichischer Schriftsteller';'m';'None';'None'
'FRANZ-WINKELER-STRASSE';'Winkeler, Franz Heinrich (geb. 15.06.1902 in Würges, gest. 26.05.1945 in Sid/Jugoslawien), Buchdrucker, Mitglied im Verband der Deutschen Buchdrucker, lebte in Mombach, sozialdemokratischer Widerstandskämpfer in der NS-Diktatur, starb als Soldat durch einen Minenunfall';'m';'None';'None'
'FRANZISKA-KESSEL-STRASSE';'Kessel, Franziska (geb. 06.01.1906 in Köln, gest. 23.04.1934 in Mainz), ab 1932 Abgeordnete für die KPD im Deutschen Reichstag, arbeitete nach dem Verbot der Partei im März 1933 im Untergrund weiter, wurde in einer Zelle im Landgerichtsgefängnis Mainz so schwer gefoltert, dass sie zunächst erblindete und danach verstarb';'w';'NS-Opfer';'None'
'FRAUENLOBPLATZ';'Meißen, Heinrich von, genannt Frauenlob (geb. 1250/60 im Meißnischen, gest. 29.11.1318 in Mainz), Dichter und Minnesänger, der den Minnesang mit der Marienverehrung verschmolz. 1312 von Kurfürst Peter von Aspelt nach Mainz geholt. Nach der von Matthias von Neuenburg überlieferten Legende sollen trauernde Mainzer Frauen den Sänger zu Grabe getragen haben. Sein Grabstein im Mainzer Dom wurde 1774 versehentlich zerstört, seitdem erinnert eine barocke Nachbildung der Grabplatte von 1783 an den Dichter.';'m';'None';'None'
'FRAUENLOBSTRASSE';'Meißen, Heinrich von, genannt Frauenlob (geb. 1250/60 im Meißnischen, gest. 29.11.1318), Dichter und Minnesänger, der den Minnesang mit der Marienverehrung verschmolz. Nach der von Matthias von Neuenburg überlieferten Legende, sollen trauernde Mainzer Frauen den Sänger zu Grabe getragen haben. Sein Grabstein wurde 1774 im Mainzer Dom aufgefunden und zerstört, seitdem erinnert eine barocke Nachbildung der Grabplatte an den Dichter.';'m';'None';'None'
'FREIHERR-VOM-STEIN-STRASSE';'Stein, Heinrich Friedrich Karl Reichsfreiherr vom und zum (geb. 25.10.1757 in Nassau, gest. 29.06.1831 in Cappenberg), Staatsmann und Reformer Preußens';'m';'None';'None'
'FREILIGRATHSTRASSE';'Freiligrath, Ferdinand (geb. 17.06.1810 in Detmold, gest. 18.03.1876 in Cannstatt), Dichter. Ein Aufenthalt Freiligraths in Mainz fällt ins Jahr 1844, er besuchte seinen Verleger Viktor von Zabern.';'m';'None';'None'
'FRIEDRICH-EBERT-PLATZ';'Ebert, Friedrich (geb. 04.02.1871 in Heidelberg, gest. 28.02.1925 in Berlin), seit 1913 SPD-Vorsitzender, seit 1919 Reichspräsident';'m';'None';'None'
'FRIEDRICH-EBERT-STRASSE';'Ebert, Friedrich (geb. 04.02.1871 in Heidelberg, gest. 28.02.1925 in Berlin), seit 1913 SPD-Vorsitzender, seit 1919 Reichspräsident';'m';'None';'None'
'FRIEDRICH-KÖNIG-STRASSE';'Koenig, Johann Friedrich Gottlob (geb. 14.04.1774 in Eisleben, gest. 17.01.1833 in Oberzell), Buchdrucker und Erfinder der Schnellpresse';'m';'None';'None'
'FRIEDRICH-NAUMANN-STRASSE';'Naumann, Friedrich (geb. 25.03.1860 in Störmthal bei Leipzig, gest. 24.08.1919 in Travemünde), evang. Theologe, liberaler Politiker, 1919 erster Vorsitzender der neugebildeten Deutschen Demokratischen Partei';'m';'None';'None'
'FRIEDRICH-SCHNEIDER-STRASSE';'Schneider, Friedrich, Dr. theol. (geb. 07.08.1836 in Mainz, gest. 21.09.1907 in Mainz), Mainzer Domkapitular und Kunsthistoriker, päpstlicher Hausprälat';'m';'None';'None'
'FRIEDRICHSSTRASSE';'vermutlich Friedrich III. (geb. 18.10.1831 in Potsdam, gest. 15.06.1888 in Potsdam), im Jahre 1888 war er 99 Tage Deutscher Kaiser und König von Preußen';'m';'None';'None'
'FRITZ-ARENS-PLATZ';'Arens, Fritz Viktor, Prof. Dr. (geb. 19.10.1912 in Mainz, gest. 13.11.1986 in Mainz), Kunsthistoriker, Denkmalpfleger der Stadt Mainz, Leiter von Altertumsmuseum und Gemäldegalerie, Konservator am Landesdenkmalamt Rheinland-Pfalz, Professor für Kunstgeschichte an der Johannes-Gutenberg-Universität Mainz';'m';'None';'None'
'FRITZ-BOCKIUS-STRASSE';'Bockius, Fritz, Dr. (geb. 11.05.1882 in Bubenheim, gest. 16.02.1945 in Mauthausen), Zentrumspolitiker, Mitglied des Reichstags, Gegner der Nationalsozialisten, die ihn 1945 im KZ Mauthausen ermordeten';'m';'None';'None'
'FRITZ-ERLER-STRASSE';'Erler, Fritz (geb. 14.07.1913 in Berlin, gest. 22.02.1967 in Pforzheim), Widerstandskämpfer gegen das NS-Regime, sozialdemokratischer Politiker, ab 1964 Fraktionsvorsitzender der SPD im Deutschen Bundestag';'m';'None';'None'
'FRITZ-FUCHS-WEG';'Fuchs, Fritz (Friedrich Johann), langjähriger Vorsitzender des Turn- und Sportvereins 1897 Mainz-Ebersheim (bis 1970)';'m';'None';'None'
'FRITZ-KOHL-STRASSE';'Kohl, Fritz (geb. 18.07.1889 in Mainz, gest. 10.02.1969 in Mainz), Mainzer Kommunalpolitiker, gemeinsam mit seinem Bruder Karl Kohl Eigentümer der in der Straße befindlichen Bierbrauerei \"Zur Sonne\" (1991 eingestellt)';'m';'None';'None'
'FRITZ-OHLHOF-STRASSE';'Ohlhof, Fritz (geb. 03.12.1889 in Hamburg, gest. 18.02.1946 in Mainz), sozialistischer Politiker und Gewerkschafter, Redakteur der Mainzer "Volkszeitung", Mainzer Stadtverordneter und Abgeordneter des Hessischen Landtags. 1936-1945 politischer Gefangener des NS-Regimes, seit 1945 Stadtratsmitglied, Leiter der Städtischen Betreuungsstelle für politisch, rassisch und religiös Verfolgte und Mitbegründer der "Gemeinnützigen Wiederaufbau-Gesellschaft" in Mainz.';'m';'None';'None'
'FRITZ-STRAßMANN-WEG';'Straßmann, Fritz, Prof. Dr. (geb. 22.02.1902 in Boppard am Rhein, gest. 22.04.1980 in Mainz), Chemiker, Mitentdecker der Kernspaltung, erster Professor für Chemie an der Mainzer Universität nach dem Zweiten Weltkrieg, Mainzer Ehrenbürger';'m';'None';'None'
