Straßenname;Erläuterung;Geschlecht;Kategorie;Quellenangabe
'ALBERT-SCHWEITZER-STRASSE';'Schweitzer, Albert (geb. 14.01.1875 in Kaysersberg bei Colmar, gest. 04.09.1965 in Lambaréné/Gabun), evang. Theologe, Tropenarzt, Musiker und Philosoph, Friedens-Nobelpreisträger 1952';'m';'None';'None'
'ALBERT-STOHR-STRASSE';'Stohr, Albert (geb. 13.11.1890 in Friedberg, gest. 04.06.1961 in Seligenstadt), katholischer Theologe, 1925 Professor für Kirchengeschichte und Homiletik in Mainz, 1926-1935 Ordinarius für Dogmatik in Mainz, ab 1935 Bischof in Mainz';'m';'None';'None'
'ALBINISTRASSE';'Albini, Franz Joseph Freiherr von (geb.14.05.1748 in St. Goar am Rhein, gest. 08.01.1816 in Dieburg), Jurist und letzter Kanzler von Kurmainz';'m';'None';'None'
'ALBRECHT-DÜRER-STRASSE';'Dürer, Albrecht (geb. 21.05.1471 in Nürnberg, gest. 06.04.1528 in Nürnberg), Maler, Zeichner, Graphiker und Kunstschriftsteller Mainzer Straßennamen nach Personen mit Erläuterungen, alphabetisch sortiert';'m';'None';'None'
'ALEXANDER-DIEHL-STRASSE';'Diehl, Alexander (geb. 26.07.1895 in Weisenau, gest. 23.09.1965 in Mainz-Weisenau), sozialdemokratischer Politiker, 1957-1961 Ortsvorsteher von Weisenau';'m';'None';'None'
'ALEXANDER-FLEMING-STRASSE';'Fleming, Alexander (geb. 06.08.1881 in Lochfield Dravel, gest. 11.03.1955 in London), britischer Bakteriologe, einer der Entdecker des Penicillins, Nobelpreisträger';'m';'None';'None'
'ALFRED-DELP-STRASSE';'Delp, Alfred (geb. 15.09.1907 in Mannheim, gest. 02.02.1945 in Berlin-Plötzensee), katholischer Soziologe und Theologe, wegen seiner Mitarbeit in der Widerstandsgruppe \"Kreisauer Kreis\" von den Nationalsozialisten hingerichtet';'m';'None';'None'
'ALFRED-DÖBLIN-STRASSE';'Döblin, Alfred (geb. 10.08.1878 in Stettin, gest. 26.06.1957 in Emmendingen), Schriftsteller, Mitbegründer der Akademie der Wissenschaften und der Literatur Mainz (09.07.1949)';'m';'None';'None'
'ALFRED-MUMBÄCHER-STRASSE';'Mumbächer, Alfred (geb. 06.05.1888 in Mainz-Bretzenheim, gest. 14.02.1953 in Mainz), Maler';'m';'None';'None'
'ALFRED-NOBEL-STRASSE';'Nobel, Alfred (geb. 21.10.1833 in Stockholm, gest. 10.10.1896 in San Remo), Chemiker und Erfinder, Gründer der Nobel-Stiftung, die die Nobelpreise verleiht';'m';'None';'None'
'ALICENPLATZ';'Alice, Großherzogin von Hessen (geb. 25.04.1843 in London, gest. 16.12.1878 in Darmstadt), Tochter Königin Viktorias und Gemahlin Großherzogs Ludwig IV. von Hessen. Die Großherzogin war sozial sehr engagiert und gründete unter anderem den Alice-Frauenverein für Krankenpflege und den Alice-Verein für Frauenbildung und Frauenerwerb.';'w';'Adel';'None'
'ALICENSTRASSE';'Alice, Großherzogin von Hessen (geb. 25.04.1843 in London, gest. 16.12.1878 in Darmstadt), Tochter Königin Viktorias und Gemahlin Großherzogs Ludwig IV. von Hessen. Die Großherzogin war sozial sehr engagiert und gründete unter anderem den Alice-Frauenverein für Krankenpflege und den Alice-Verein für Frauenbildung und Frauenerwerb.';'w';'Adel';'None'
'ALTENAUERGASSE';'Altenauer, Johann Kaspar (gest. 14.04.1766 in Mainz), kurfürstlicher Artilleriehauptmann und Mainzer Bürger, vermachte sein Vermögen der Schulstiftung zugunsten der Maria-Ward-Schwestern';'m';'None';'None'
'AM FORT ELISABETH';'Straße benannt nach der ehemaligen Elisabethschanze, die um 1713 beim Ausbau des zweiten Festungsrings entstand und 1871 aufgehoben wurde. In die Elisabeth-Kaserne wurde 1931 das St. Vinzenzund Elisabeth-Krankenhaus vom Kästrich verlegt. Es ist ungeklärt, nach welcher Person oder Heiligen die Schanze benannt wurde.';'u';'None';'None'
'AM FORT JOSEF';'Joseph I. (geb. 26.07.1678 in Wien, gest. 17.04.1711 in Wien), von 1705 bis 1711 Kaiser des Heiligen Römischen Reiches Deutscher Nation, König von Böhmen und Ungarn. Benannt nach der Josefsschanze.';'m';'None';'None'
'AM KRONBERGER HOF';'Kronberg, Johann Schweik(h)ard von (geb. 15.07.1553, gest. 17.09.1626 in Aschaffenburg), Kurfürst und Erzbischof von 1604-1626. Straße nach dem zwischen 1604-27 erbauten \"Kronberger Hof\" benannt, der 1942 schwer beschädigt und 1959 abgerissen wurde.';'m';'None';'None'
'AMBROSIUS-KLEIN-STRASSE';'Klein, Ambrosius, gefallener Marienborner Freiheitskämpfer, der im Mai 1849 bei Kirchheimbolanden für die Durchsetzung der Frankfurter Paulskirchenverfassung kämpfte.';'m';'None';'None'
'AN DER ACHATIUSKIRCHE';'Achatius, Heiliger, Märtyrer des 2. Jh. und einer der 14 Nothelfer. Benannt nach der Pfarrkirche Zahlbachs St. Achatius, die 1809/10 anstelle der 1792 zerstörten Zahlbacher Kirche erbaut und 1816 eingeweiht wurde.';'m';'None';'None'
'AN DER BASTION JOHANNES';'Johannes, einer der Vornamen des Mainzer Kurfürsten Johann Philipp von Schönborn (geb. 06.08.1605 auf Burg Eschbach/Hintertaunus, gest. 12.02.1673 in Würzburg), der in seiner Regierungszeit von 1647-1673 begann, die Mainzer Festungswerke auf dem Jakobsberg zur Zitadelle umzugestalten.';'m';'None';'None'
'AN DER KARLSSCHANZE';'Karl VI. (geb. 1.10.1685 in Wien, gest. 20.10.1740 in Wien), von 1711 bis 1740 Kaiser des Heiligen Römischen Reiches Deutscher Nation';'m';'None';'None'
'AN DER NIKOLAUSSCHANZE';'Straße benannt nach der Nikolauspoterne, die an der Einmündung der 1918 benannten Straße zum Winterhafen hin lag. Sankt Nikolaus (geb. zwischen 270 und 286 in Patara, gest. 06.12.326, 345, 351 oder 365), Bischof von Myra.';'m';'None';'None'
'AN DER PHILIPPSSCHANZE';'Straße nach der angrenzenden Philippsschanze benannt, einer Anlage des zweiten Festungsrings, der nach 1713 entstand. Philipp, einer der Vornamen von Johann Philipp von Schönborn (geb. 06.08.1605 auf Burg Eschbach/Hintertaunus, gest. 12.02.1673 in Würzburg), Erzbischof und Kurfürst von Mainz (1647), gehört zu den bedeutendsten Mainzer Erzbischöfen.';'m';'None';'None'
'ANNA-SEGHERS-PLATZ';'Seghers, Anna (geb. 19.11.1900 in Mainz, gest. 01.06.1983 in Berlin), bürgerlich Netty Radványi, geboren als Netty Reiling, Schriftstellerin. 1933 verließ sie Deutschland auf der Flucht vor den Nationalsozialisten. Ihrer Heimatstadt setzte sie u. a. in der Erzählung \"Ausflug der toten Mädchen\" und dem Roman \"Das siebte Kreuz\" ein literarisches Denkmal.';'w';'Künstlerin';'None'
'ANNA-STENNER-STRASSE';'Stenner, Anna (geb. 04.10.1896 in Hechtsheim, gest. 28.02.1974 in Mainz-Hechtsheim), geb. Oehrlein, Gemeindehebamme, die über 1000 Hausgeburten zwischen 1924 und 1950 in Mainz-Hechtsheim durchführte.';'w';'Medizin';'None'
'ANNASTRASSE';'vermutlich Anna, Heilige, Mutter Marias, laut mehreren apokryphen Evangelien des 2. bis 6. Jahrhunderts die Großmutter von Jesus Christus';'w';'Kirche';'None'
'ANNEMARIE-RENGER-STRASSE';'Renger, Annemarie (geb. 7. Oktober 1919 in Leipzig; gest. 3. März 2008 in Remagen-Oberwinter), deutsche Politikerin (SPD); von 1972 bis 1976 Präsidentin und von 1976 bis 1990 Vizepräsidentin des Deutschen Bundestages.';'w';'Politik (SPD)';'https://de.wikipedia.org/wiki/Annemarie_Renger'
'ANNI-EISLER-LEHMANN-STRASSE';'Eisler-Lehmann, Anni (geb. 26.09.1904 in Mainz, gest. 11.11.1999 in Mainz), Opernsängerin, Gründerin der Anni-Eisler-Lehmann-Stiftung zur Förderung junger jüdischer Sängerinnen, Trägerin der Gutenberg-Plakette der Stadt Mainz';'w';'Künstlerin';'None'
'ANSELM-FRANZ-VON-BENTZEL-WEG';'Bentzel, Anselm Franz Freiherr von (geb. 28.08.1738 in Mainz, gest. 07.03.1786), Hof- und Regierungsrat, Hofkanzler in Mainz und mit der Aufhebung des Jesuitenordens im kurmainzischen Gebiet beauftragt, Kurator der Universitäten Mainz und Erfurt, Reformator des Bildungswesens und der Universitätsverfassung.';'m';'None';'None'
'ARNDTSTRASSE';'Arndt, Ernst Moritz (geb. 26.12.1769 Rügen, gest. 29.1.1860 Bonn), Professor in Greifswald und Bonn, deutsch-nationaler Publizist und Dichter. Abgeordneter der Frankfurter Nationalversammlung.';'m';'None';'None'
'ASPELTSTRASSE';'Aspelt, Peter von (geb. 1245 in Aspelt bei Luxemburg, gest. 05.06.1320 in Mainz), 1306 bis 1320 Mainzer Erzbischof, sein Grabmal im Dom zeigt ihn drei Könige krönend';'m';'None';'None'
'AUF DEM ALBANSBERG';'Alban (geb. unbek., gest. 406? in Mainz), Heiliger, wollte um 400 in Mainz die Arianer bekehren. Der Legende nach wurde er 406 von den Vandalen im Gartenfeld enthauptet und trug daraufhin seinen Kopf an den Platz, an dem er begraben werden wollte: auf den heute nach ihm benannten Albansberg.';'m';'None';'None'
'AUGUST-HERBER-STRASSE';'Herber, August (geb. 10.05.1892 in Wallenrod, gest. 23.09.1957 in Mainz-Weisenau), evangelischer Pfarrer in Weisenau ab 08.05.1934';'m';'None';'None'
'AUGUST-HORCH-STRASSE';'Horch, August (geb. 12.10.1868 in Winningen, gest. 03.02.1951 in Münchberg), Automobilkonstrukteur und Industrieller';'m';'None';'None'
'AUGUSTUSPLATZ';'Augustus, ursprünglich Gajus Octavius (geb. 23.09.63 v. Chr., gest. 19.08.14 n. Chr. in Nola bei Neapel), römischer Kaiser, in dessen Regierungszeit das Mainzer Legionslager errichtet wurde. Der Platz liegt auf dem Gelände des römischen Legionslagers';'m';'None';'None'
'AUGUSTUSSTRASSE';'Augustus, ursprünglich Gajus Octavius (geb. 23.09.63 v. Chr., gest. 19.08.14 n. Chr. in Nola bei Neapel), römischer Kaiser, in dessen Regierungszeit das Mainzer Legionslager errichtet wurde. Die Straße liegt innerhalb des römischen Legionslagers.';'m';'None';'None'
'BACCHUSSTRASSE';'Bacchus, griechischer Gott des Weines und der Fruchtbarkeit, Sohn des Zeus und der Semele';'m';'None';'None'
'BAENTSCHSTRASSE';'Baentsch, Theodor (geb. 13.12.1861 in Sandersleben, gest. 12.02.1913 in Mainz), Gewerberat, Vorstand der Gewerbeinspektion im Bezirk Mainz';'m';'None';'None'
'BALTHASAR-BECKER-WEG';'Becker, Balthasar (geb. 30.09.1890 in Ebersheim, gest. 14.07.1964 in Mainz), Bürgermeister von Ebersheim 1929-1936 und 1945-1956, Mitglied des Zentrums bzw. der CDU';'m';'None';'None'
'BALTHASAR-MALER-GASSE';'Maler, Balthasar, ein Fuhrmann, baute im 17. Jahrhundert in dieser Gasse das erste Haus';'m';'None';'None'
'BALTHASAR-MALER-PLATZ';'Maler, Balthasar, ein Fuhrmann, baute im 17. Jahrhundert in der benachbarten Balthasar-Maler-Gasse das erste Haus';'m';'None';'None'
'BARBAROSSARING';'Friedrich I., genannt Barbarossa (geb. etwa 1122 in Waiblingen oder in Weingarten (Altdorf) bei Ravensburg, gest. 10.06.1190 im Fluss Saleph, Anatolien), Kaiser seit 1155, richtete 1184 das Mainzer Hoffest aus.';'m';'None';'None'
'BARBAROSSASTRASSE';'Friedrich I., genannt Barbarossa (geb. etwa 1122 in Waiblingen oder in Weingarten (Altdorf) bei Ravensburg, gest. 10.06.1190 im Fluss Saleph, Anatolien), Kaiser seit 1155, richtete 1184 das Mainzer Hoffest aus.';'m';'None';'None'
'BASTION MARTIN';'Martin, Heiliger, Patron des Mainzer Erzstifts. Straße benannt nach der gegenüberliegenden Bastion Martin.';'m';'None';'None'
'BASTION PHILIPP';'Philipp, einer der Vornamen von Johann Philipp von Schönborn (geb. 06.08.1605 auf Burg Eschbach/Hintertaunus, gest. 12.02.1673 in Würzburg), Erzbischof und Kurfürst von Mainz (1647), gehört zu den bedeutendsten Mainzer Erzbischöfen. Die Bastion wurde erbaut als Teil des ersten Verteidigungsrings der Stadt zwischen 1660 und 1673. Mainzer Straßennamen nach Personen mit Erläuterungen, alphabetisch sortiert';'m';'None';'None'
'BEBELSTRASSE';'Bebel, August (geb. 22.02.1840 in Köln-Deutz, gest. 13.08.1913 in Passugg/Schweiz), Politiker, Schriftsteller, Vorsitzender der Sozialdemokratischen Arbeiterpartei und Reichtagsabgeordneter, der in Mainz seinen Reichstagswahlkreis hatte.';'m';'None';'None'
'BEETHOVENSTRASSE';'Beethoven, Ludwig van (geb. 17.12.1770 in Bonn, gest. 26.03.1827 in Wien), Komponist';'m';'None';'None'
'BENJAMIN-FRANKLIN-STRASSE';'Franklin, Benjamin (geb. 17.01.1706 in Boston, gest. 17.04.1790 in Philadelphia), amerikanischer Politiker, Schriftsteller und Naturwissenschaftler';'m';'None';'None'
'BERNHARD-WINTER-STRASSE';'Winter, Bernhard; Mombacher Bürger, der um 1814 den Bau der Mombacher Kreuzkapelle initiierte';'m';'None';'None'
'BERT-BRECHT-STRASSE';'Brecht, Bertolt (geb. 10.02.1898 in Augsburg, gest. 14.08.1956 in Berlin), Schriftsteller und Regisseur';'m';'None';'None'
'BGM.-HEINRICH-DREIBUS-STR';'Dreibus, Heinrich (geb. 28.03.1905 in Hechtsheim, gest. 07.02.1985 in München), Schriftsetzer, Bürgermeister und Ehrenbürger von Hechtsheim';'m';'None';'None'
'BIEROTHSTRASSE';'Bieroth, Jakob (geb. 01.03.1846 in Finthen, gest. 25.10.1929 in Finthen), Bürgermeister in Finthen von 1899 bis 1919';'m';'None';'None'
'BILHILDISSTRASSE';'Bilhildis (Anfang 8. Jahrhundert), Heilige und Stifterin des Mainzer Klosters Altmünster, Witwe des thüringischen Herzogs Hetan und Nichte des Mainzer Bischofs Rigibert';'w';'Adel';'None'
'BILLROTHWEG';'Billroth, Theodor Christian Albert (geb. 26.08.1829 in Bergen auf Rügen, gest. 06.02.1894 in Opatija), einer der bedeutendsten Chirurgen des 19. Jahrhunderts, Begründer der modernen Bauchchirurgie und Pionier der Kehlkopfchirurgie';'m';'None';'None'
'BISMARCKPLATZ';'Bismarck, Otto von (geb. 01.04.1815 in Schönhausen/Altmark, gest. 30.07.1898 in Friedrichsruh), einer der bedeutendsten dt. Staatsmänner des 19. Jh., Gründer und Kanzler des Deutschen Reiches. Bismarck hielt sich in den Jahren 1870/71 mehrere Monate in Mainz auf und wohnte im Haus Kupferberg.';'m';'None';'None'
'BLUSSUSSTRASSE';'Blussus (geb. Ende des 1. Jh. v. Chr., gest. Mitte des 1. Jh. n. Chr. in Weisenau), keltischer Schiffer bzw. Schiffsbesitzer. Benannt nach seinem Grabstein, der 1848 in Weisenau gefunden wurde und sich heute im Landesmuseum Mainz befindet.';'m';'None';'None'
'BODELSCHWINGHSTRASSE';'Bodelschwingh, Friedrich Christian von (geb. 06.03.1831 in Lengerich (Haus Marck), gest. 02.04.1910 in Bethel bei Bielefeld), evangelischer Theologe, Leiter der Kranken-, Heil- und Fürsorgeanstalten in Bethel, Förderer der inneren und äußeren Mission';'m';'None';'None'
'BONIFAZIUSPLATZ';'Bonfazius (geb. 672/73 Königreich Wessex, gest. 05.06.754 bei Dokkum/Friesland), genannt \"Apostel der Deutschen\", Missionar und Heiliger, erster Mainzer Erzbischof 745-754. Die Straße ist nach der ursprünglich neugotischen, 1894 geweihten und zwischen 1954-1963 wieder aufgebauten Kirche benannt.';'m';'None';'None'
'BONIFAZIUSSTRASSE';'Bonfazius (geb. 672/73 Königreich Wessex, gest. 05.06.754 bei Dokkum/Friesland), genannt \"Apostel der Deutschen\", Missionar und Heiliger, erster Mainzer Erzbischof 745-754. Die Straße ist nach der ursprünglich neugotischen, 1894 geweihten und zwischen 1954-1963 wieder aufgebauten Kirche benannt.';'m';'None';'None'
'BOPPSTRASSE';'Bopp, Franz, Prof. Dr. (geb. 14.09.1791 in Mainz, gest. 23.10.1867 in Berlin), Begründer der vergleichenden Sprachwissenschaft';'m';'None';'None'
'BRAHMSWEG';'Brahms, Johannes (geb. 07.05.1833 in Hamburg, gest. 03.04.1897 in Wien), Komponist';'m';'None';'None'
'BREIDENBACHERSTRASSE';'Breidenbach, Bernhard von (geb. um 1440, gest. 05.05.1497 in Mainz), Domdekan, der mit Philipp von Bicken eine Palästinareise unternahm, über die 1486 das Buch \"Reise ins Heilige Land\" erschien';'m';'None';'None'
'BRUCKNERSTRASSE';'Bruckner, Anton (geb. 04.09.1824 in Ansfelden, gest. 11.10.1896 in Wien), österreichischer Komponist';'m';'None';'None'
'BÜCHNERALLEE';'Büchner, Georg (geb. 17.10.1813 in Goddelau bei Darmstadt, gest. 19.02.1837 in Zürich), Schriftsteller';'m';'None';'None'
'BUERGERMEISTER-ALEXANDER-STRASSE';'Alexander, Franz Ludwig (geb. 16.09.1881 in Mainz, gest. 14.06.1960 in Mainz-Gonsenheim), Rechtsanwalt, 1913-1933 Bürgermeister von Gonsenheim, 1945-1949 Ortsvorsteher von Gonsenheim';'m';'None';'None'
'BÜRGERMEISTER-KEIM-STRASSE';'Keim, Martin Andreas (geb. 09.10.1859 in Hechtsheim, gest. 20.06.1938 in Hechtsheim), 1913 bis 1925 Bürgermeister in Hechtsheim';'m';'None';'None'
'BÜRGERMEISTER-SCHMITT-STR';'Schmitt, Joseph Peter (geb. 12.10.1844 in Hechtsheim, gest. 21.12.1927 in Hechtsheim), 1904 bis 1913 Bürgermeister in Hechtsheim, Mitbegründer der Freiwilligen Feuerwehr in Hechtsheim';'m';'None';'None'
'CANISIUSSTRASSE';'Canisius, Petrus (geb. 08.05.1521 in Nimwegen/Niederlande, gest. 21.12.1597 in Freiburg/Schweiz), Heiliger, Kirchenlehrer und erster deutscher Jesuit';'m';'None';'None'
'CARL-BENZ-STRASSE';'Benz, Carl (geb. 25.11.1844 in Karlsruhe, gest. 04.04.1929 in Ladenburg), Ingenieur und Automobilpionier';'m';'None';'None'
'CARL-DIEM-STRASSE';'Diem, Carl (geb. 24.06.1882 in Würzburg, gest. 17.12.1962 in Köln), Sportwissenschaftler und Sportschriftsteller, Organisator der Oympischen Spiele 1936 in Berlin';'m';'None';'None'
'CARL-GOERDELER-STRASSE';'Goerdeler, Carl Friedrich, Dr. (geb. 31.07.1884 in Schneidemühl, gest. 02.02.1945 in Berlin), Verwaltungsjurist und Politiker, Widerstandskämpfer gegen das NS-Regime, von den Nationalsozialisten hingerichtet';'m';'None';'None'
'CARL-ORFF-STRASSE';'Orff, Carl (geb. 20.07.1895 in München, gest. 29.03.1982 in München), Komponist';'m';'None';'None'
'CARL-VON-LINDE-STRASSE';'Linde, Carl von (geb.11.06.1842 in Berndorf, gest. 16.11.1934 in München), Ingenieur und Industrieller';'m';'None';'None'
'CARL-ZEISS-STRASSE';'Zeiss, Carl (geb. 11.09.1816 in Weimar, gest. 03.12.1888 in Jena), Mechaniker und Unternehmer';'m';'None';'None'
'CARL-ZUCKMAYER-STRASSE';'Zuckmayer, Carl (geb. 27.12.1896 in Nackenheim bei Mainz, gest. 18.01.1977 in Vis/Kanton Wallis), Schriftsteller und Mainzer Ehrenbürger';'m';'None';'None'
'CARLO-MIERENDORFF-STRASSE';'Mierendorff, Carlo, Dr. (geb. 24.03.1897 in Großenhain, gest. 04.12.1943 in Leipzig), Journalist und sozialdemokratischer Politiker, als Mitglied des \"Kreisauer Kreises\" Widerstandskämpfer gegen das NS-Regime';'m';'None';'None'
'CATHARINA-LOTHARY-STRASSE';'Lothary, Catharina Rosina (geb. 19.04.1817 in Mainz, gest. 14.09.1892 in Mainz), geb. Jung, Ehefrau des Bauunternehmers Christian Lothary (geb. 1814, gest. 08.12.1868), Unternehmerin, führte nach dem Tod des Ehemannes die Zementfabrik gemeinsam mit ihrem Sohn Christian und auch nach dessen Tod, Betreiberin des Casinos des 1864 gegründeten Zementwerkes und Kassiererin des von Kathinka Zitz 1848 gegründeten Frauenvereins \"Humania\".';'w';'Unternehmerin';'None'
'CHANA-KAHN-STRASSE';'Kahn, Chana (geb. 21.09.1942 in Mainz-Weisenau, ermordet in Auschwitz), geboren in der Rheinstraße 25, von den Nationalsozialisten zusammen mit ihren Eltern und ihrem Bruder am 10.02.1943 nach Theresienstadt, später nach Auschwitz verschleppt';'w';'NS-Opfer';'None'
